City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Brønnøysund,65.4625,12.1997,33.8,93,90,25.32,NO,1615014519
Mayor Pablo Lagerenza,-19.9309,-60.7718,71.35,81,78,5.28,PY,1615014519
Kraśnik,50.9236,22.2271,30.0,93,75,8.05,PL,1615014519
Ratne,51.6683,24.5303,28.4,80,75,8.95,UA,1615014520
Saint-Louis,16.3333,-15.0,75.2,27,0,10.87,SN,1615014520
Matadi,-5.8167,13.45,81.27,85,100,4.85,CD,1615014520
Gouré,13.9835,10.2704,73.99,13,58,8.01,NE,1615014520
Raja,8.4596,25.678,78.06,16,7,7.9,SS,1615014521
Rafrāf,37.1904,10.1837,51.8,93,20,6.91,TN,1615014521
Leninsk,48.7119,45.1994,32.0,100,90,11.18,RU,1615014521
Manjeshwar,12.7194,74.8861,91.4,55,20,8.05,IN,1615014521
Uchaly,54.2996,59.4521,16.66,92,1,10.02,RU,1615014522
Priupskiy,53.9096,37.736,17.11,97,99,8.37,RU,1615014522
Conceição do Araguaia,-8.2578,-49.2647,72.25,96,100,1.3,BR,1615014522
Arlington,32.7357,-97.1081,52.0,66,40,12.66,US,1615014364
Vardø,70.3705,31.1107,23.43,96,100,17.85,NO,1615014523
Malinovoye Ozero,51.6753,79.7825,27.55,93,13,19.55,RU,1615014523
Castro,-24.7911,-50.0119,60.13,98,90,3.76,BR,1615014524
Cotacachi,0.3,-78.2667,53.6,94,75,1.14,EC,1615014524
Dhidhdhoo,6.8833,73.1,82.81,62,0,5.14,MV,1615014524
Macapá,0.0389,-51.0664,75.2,100,75,3.44,BR,1615014525
Kangāvar,34.5043,47.9653,41.0,60,20,6.91,IR,1615014525
Vavoua,7.3819,-6.4778,73.58,91,100,5.84,CI,1615014526
Mumbwa,-14.9783,27.0619,70.7,77,39,4.9,ZM,1615014526
Romitan,39.9343,64.3814,41.0,93,90,18.41,UZ,1615014526
Les Escoumins,48.1111,-69.0236,15.8,73,100,25.32,CA,1615014526
Villamontes,-21.25,-63.5,68.16,74,0,4.59,BO,1615014376
Āwash,8.9833,40.1667,81.41,32,20,10.07,ET,1615014527
Rāvar,31.2656,56.8055,63.01,26,0,4.63,IR,1615014527
Sovetskiy,61.3614,63.5842,13.87,95,99,5.57,RU,1615014527
Chirnside,55.8022,-2.2093,32.0,87,0,8.08,GB,1615014527
São Félix do Xingu,-6.6447,-51.995,70.81,96,99,0.54,BR,1615014528
Najrān,17.4924,44.1277,64.4,34,0,6.91,SA,1615014528
Zhezkazgan,47.8043,67.7144,26.47,94,4,5.7,KZ,1615014243
Ailigandí,9.2333,-78.0167,77.65,76,94,12.1,PA,1615014528
Marsh Harbour,26.5412,-77.0636,70.16,55,100,12.37,BS,1615014529
Meulaboh,4.1363,96.1285,83.26,73,93,0.83,ID,1615014529
Semnan,35.5729,53.3971,49.98,46,0,4.74,IR,1615014529
Tucupita,9.0622,-62.051,72.19,98,49,3.24,VE,1615014530
Normandin,48.8333,-72.5321,12.2,72,100,12.66,CA,1615014530
Puerto Baquerizo Moreno,-0.9,-89.6,79.14,77,5,4.97,EC,1615014530
Baixo Guandu,-19.5189,-41.0158,70.05,89,100,0.96,BR,1615014311
Makkah al Mukarramah,21.4267,39.8261,84.27,23,0,3.02,SA,1615014530
Lima,-12.0432,-77.0282,73.99,88,40,9.22,PE,1615014354
Jagüey Grande,22.5269,-81.1286,64.4,94,1,3.44,CU,1615014531
Vikulovo,56.8167,70.6107,19.87,95,100,17.78,RU,1615014531
Biograd na Moru,43.9433,15.4519,44.6,39,40,13.8,HR,1615014532
Ikon-Khalk,44.3051,41.9142,41.11,82,0,7.05,RU,1615014532
Beroroha,-21.6667,45.1667,84.51,69,0,1.9,MG,1615014532
Kedrovoye,57.1576,60.5698,19.4,68,40,15.66,RU,1615014533
Valparaíso,-33.0393,-71.6273,60.01,82,16,1.66,CL,1615014533
Maxixe,-23.8597,35.3472,80.6,78,40,4.61,MZ,1615014534
Berlevåg,70.8578,29.0864,22.66,93,100,13.04,NO,1615014534
Tsiroanomandidy,-18.7667,46.0333,76.46,75,42,6.17,MG,1615014534
Oxford,51.7522,-1.256,32.0,93,90,3.44,GB,1615014535
Kuusamo,65.9667,29.1833,6.8,92,40,8.05,FI,1615014535
Bayjī,34.9311,43.487,61.36,48,0,4.72,IQ,1615014381
Panama City,8.9936,-79.5197,73.4,83,90,4.61,PA,1615014641
Zelenoborskiy,66.845,32.3622,12.99,95,100,10.4,RU,1615014641
Lerwick,60.1545,-1.1494,42.8,81,75,26.46,GB,1615014641
Blackpool,53.8167,-3.05,37.0,80,75,5.75,GB,1615014554
Madīnat Sittah Uktūbar,29.8167,31.05,60.8,59,0,17.27,EG,1615014642
Gangoh,29.7667,77.25,90.09,10,0,12.84,IN,1615014642
Panjāb,34.388,67.0233,34.03,91,96,5.17,AF,1615014642
Laguna,38.421,-121.4238,53.6,71,1,4.61,US,1615014643
Xaxim,-26.9617,-52.5347,58.77,100,7,0.54,BR,1615014643
Barreirinha,-2.7933,-57.07,73.15,95,100,1.12,BR,1615014643
Provincie Utrecht,52.0,5.25,35.01,92,92,2.89,NL,1615014385
Kasane,-17.8167,25.15,71.6,56,0,12.66,BW,1615014644
Saint-Michel-des-Saints,46.6834,-73.9159,-1.71,90,95,7.61,CA,1615014644
Diego de Almagro,-26.3667,-70.05,57.22,73,0,0.78,CL,1615014644
Dondo,-19.6094,34.7431,80.6,78,75,9.22,MZ,1615014425
Key Largo,25.0865,-80.4473,73.0,62,1,3.44,US,1615014645
Māngrol,21.1167,70.1167,86.63,36,0,11.52,IN,1615014645
Khanbari,27.3747,87.2039,77.72,18,23,5.55,NP,1615014645
Ténenkou,14.4572,-4.9169,76.95,27,100,9.86,ML,1615014646
Mezen',65.8522,44.24,-8.34,90,1,1.9,RU,1615014646
Salym,60.0625,71.4789,20.34,97,100,4.18,RU,1615014647
Thetford Mines,46.0913,-71.3013,8.6,66,100,6.91,CA,1615014647
Kismayo,-0.3582,42.5454,83.28,64,0,16.84,SO,1615014647
Aden,12.7794,45.0367,79.05,65,0,10.92,YE,1615014530
Bouna,9.2667,-3.0,76.14,80,100,4.41,CI,1615014648
Tazovsky,67.4667,78.7,1.62,94,96,7.54,RU,1615014648
Carayaó,-25.1833,-56.4,66.7,91,0,2.42,PY,1615014649
Vilhena,-12.7406,-60.1458,68.25,99,100,1.7,BR,1615014615
Karoi,-16.8099,29.6925,69.17,87,7,5.97,ZW,1615014649
Caucayá,-0.1934,-74.7819,70.83,98,87,0.49,CO,1615014650
Cocobeach,1.0002,9.5823,78.8,94,75,5.75,GA,1615014650
Asmara,15.3333,38.9333,61.93,48,0,7.56,ER,1615014651
Shudayag,63.5266,53.6058,-2.65,90,88,4.03,RU,1615014651
Zhangaözen,43.3,52.8,44.74,56,0,9.46,KZ,1615014651
Scalea,39.813,15.7956,48.0,75,3,1.01,IT,1615014651
Derbent,42.0678,48.2899,49.1,49,0,10.74,RU,1615014583
Guru Har Sahāi,30.7167,74.4167,92.19,10,0,6.04,IN,1615014652
Tosno,59.54,30.8775,24.01,73,0,6.71,RU,1615014652
Snåase,64.2457,12.3778,37.4,87,75,20.71,NO,1615014653
Buriti dos Lopes,-3.175,-41.8669,72.82,95,100,3.89,BR,1615014653
Diamantino,-14.4086,-56.4461,69.08,94,63,1.63,BR,1615014653
Kibondo,-3.5864,30.7203,70.12,87,86,1.12,TZ,1615014654
Birjand,32.8663,59.2211,55.4,44,20,9.22,IR,1615014654
Lethem,3.3803,-59.7968,76.46,76,100,12.15,GY,1615014654
Evansville,37.9748,-87.5558,37.4,60,1,3.44,US,1615014550
Tyup,42.7276,78.3648,36.09,74,78,2.42,KG,1615014655
Asunción,-25.3007,-57.6359,71.6,100,0,2.3,PY,1615014477
Laas,46.6166,10.7002,36.0,86,0,4.61,IT,1615014656
Ust'-Kan,50.9276,84.761,25.81,86,66,9.86,RU,1615014656
Visby,57.6409,18.296,35.01,75,0,19.57,SE,1615014657
Puerto Nariño,-3.7703,-70.3831,75.2,100,40,5.75,CO,1615014657
Hīt,33.6416,42.8251,62.82,47,0,11.36,IQ,1615014657
Xaçmaz,41.4635,48.806,50.27,50,0,8.34,AZ,1615014429
Ormara,25.2088,64.6357,77.49,68,0,8.41,PK,1615014188
Barra de São Francisco,-18.755,-40.8908,67.78,91,100,0.49,BR,1615014658
Virginia Beach,36.8529,-75.978,39.2,64,75,3.44,US,1615014659
Buchanan,5.8808,-10.0467,75.2,94,40,4.07,LR,1615014659
Matara,5.9485,80.5353,87.46,55,58,6.24,LK,1615014659
Muhos,64.808,25.9931,23.0,86,90,9.22,FI,1615014659
Torit,4.4133,32.5678,87.6,33,97,3.91,SS,1615014660
Karasjok,69.4719,25.5112,28.4,74,75,27.63,NO,1615014660
Arrecife,28.963,-13.5477,59.0,88,75,14.97,ES,1615014660
Ati,13.2154,18.3353,79.41,16,64,13.44,TD,1615014660
Kharan,28.5833,65.4167,86.5,15,0,12.59,PK,1615014661
Bānkura,23.25,87.0667,95.97,10,0,7.99,IN,1615014661
Hauterive,46.0901,3.4459,35.01,86,0,3.44,FR,1615014661
Ubari,26.5921,12.7805,64.54,26,0,4.79,LY,1615014661
Usogorsk,63.4106,48.6872,-1.95,90,95,4.07,RU,1615014662
Kobryn,52.2138,24.3564,28.4,80,75,8.95,BY,1615014662
Bereket,39.2446,55.5154,45.61,81,100,2.37,TM,1615014662
Upata,8.0086,-62.3989,75.0,97,91,1.99,VE,1615014466
Severnyy,50.677,36.5532,30.2,74,0,11.18,RU,1615014663
Ous,60.9058,61.5186,15.91,95,100,6.71,RU,1615014663
Damaturu,11.747,11.9608,73.98,24,81,12.03,NG,1615014664
Mehamn,71.0357,27.8492,21.52,95,100,7.85,NO,1615014664
Tchamba,9.0333,1.4167,77.0,78,0,2.8,TG,1615014664
Aranos,-24.1333,19.1167,79.16,21,94,11.36,NA,1615014664
Burgos,42.3394,-3.7079,33.8,93,75,8.05,ES,1615014665
Puerto Cabezas,14.0351,-83.3888,72.52,83,12,3.42,NI,1615014665
Skibbereen,51.55,-9.2667,39.2,70,75,6.91,IE,1615014665
Jalingo,8.8833,11.3667,83.53,15,74,1.3,NG,1615014666
Santa Fe,-31.6333,-60.7,66.0,80,0,1.99,AR,1615014509
Vista Hermosa,19.5167,-99.2167,64.4,36,1,5.75,MX,1615014666
Belmonte,-15.8631,-38.8828,73.4,83,0,6.91,BR,1615014667
Kamenka,51.3223,42.7678,28.99,80,100,0.72,RU,1615014667
Nexø,55.0607,15.1306,35.6,80,2,11.5,DK,1615014668
Kourou,5.1552,-52.6478,79.0,94,90,9.35,GF,1615014668
San Javier,37.8063,-0.8374,55.4,88,40,9.22,ES,1615014668
Kasangulu,-4.5911,15.1708,75.2,100,90,18.41,CD,1615014669
Urengoy,65.9667,78.3667,14.47,95,100,2.59,RU,1615014669
Nizhniy Baskunchak,48.2198,46.8311,42.03,70,100,10.8,RU,1615014670
Karaton,-6.3424,106.1045,90.0,70,40,11.5,ID,1615014670
Fort Portal,0.6617,30.2748,76.57,52,100,2.55,UG,1615014670
Qaqortoq,60.7167,-46.0333,42.8,33,90,16.11,GL,1615014670
Nieuw Amsterdam,5.8833,-55.0833,75.99,92,51,1.01,SR,1615014671
Dabat,12.9842,37.765,66.76,43,23,7.94,ET,1615014671
Adwa,14.1646,38.8955,73.49,28,5,9.28,ET,1615014672
Cuamba,-14.8031,36.5372,74.59,87,87,2.93,MZ,1615014672
Saint-Leu,-21.15,55.2833,84.0,60,100,9.19,RE,1615014673
Baijiantan,45.6333,85.1833,32.54,88,3,8.12,CN,1615014673
Itacaré,-14.2775,-38.9967,73.4,94,20,4.61,BR,1615014673
Durban,-29.8579,31.0292,73.99,88,75,5.75,ZA,1615014418
Āsmār,35.0333,71.3581,67.69,22,100,4.7,AF,1615014675
Río de Jesús,7.9844,-81.1631,69.78,80,0,3.62,PA,1615014675
Gobabis,-22.45,18.9667,73.9,38,1,6.46,NA,1615014676
Paita,-5.0892,-81.1144,76.01,72,100,5.73,PE,1615014676
Rovaniemi,66.5,25.7167,17.6,93,90,10.36,FI,1615014677
Deer Lake,49.1667,-57.4316,19.4,86,90,2.3,CA,1615014677
Mikhaylovka,50.06,43.2379,30.99,93,100,8.99,RU,1615014677
Umluj,25.0213,37.2685,80.04,30,0,5.53,SA,1615014678
Oudtshoorn,-33.5907,22.2014,73.4,64,0,4.61,ZA,1615014678
Tessalit,20.1986,1.0114,72.61,22,85,6.38,ML,1615014678
Chirongui,-12.9319,45.1483,87.8,70,0,18.41,YT,1615014679
Caleta de Carquín,-11.0925,-77.6267,73.54,71,100,5.53,PE,1615014679
Neya,58.2972,43.8681,7.88,95,49,4.16,RU,1615014679
Ürümqi,43.801,87.6005,35.6,69,40,6.71,CN,1615014679
Garachiné,8.0647,-78.3628,75.07,83,33,11.21,PA,1615014680
Dāmghān,36.1683,54.348,47.03,52,1,7.52,IR,1615014434
Boromo,11.75,-2.9333,79.39,49,100,5.28,BF,1615014672
